username,name,description,buy_price,first_bid,time_ends,country,geo_lat,geo_long,location,image_path,active,categoryId
liszt,item1,item1description,100,25.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item1image,true,423
liszt,item2,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,1000
liszt,item21,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,850
liszt,item22,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,640
liszt,item23,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,333
liszt,item24,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,23
liszt,item25,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,999
liszt,item26,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,1200
liszt,item27,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,400
liszt,item28,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,400
liszt,item29,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,400
liszt,item30,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,400
liszt,item31,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,232
liszt,item32,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,123
liszt,item33,item2description,1000,50.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item2image,true,452
sergei,item3,item3description,250,100,2021-11-13 17:00:00,Russia,55.748779,37.605529,Moscow,item3image,true,111
sergei,item4,item4description,504,300,2021-11-13 17:00:00,Russia,55.748779,37.605529,Moscow,item4image,true,111
claude,item5,item1description,100,25.5,2021-11-13 17:00:00,France,48.856440,2.355405,Paris,item5image,true,111
schubert,item6,item6description,60000,60,2021-11-13 17:00:00,Austria,48.203024,16.375596,Wien,item6image,true,111
vlad,item7,item7description,2500,1500,2022-11-13 17:00:00,Russia,56.166527,40.455652,Vladimir,item1image,true,200
vlad,item8,item1description,100,25.5,2021-11-13 17:00:00,Russia,56.166527,40.455652,Vladimir,item1image,true,100
liszt,item9,item1description,100,25.5,2021-11-13 17:00:00,Germany,48.132315,11.570615,Munich,item1image,true,8